# rotation_axis 1 1 0
Sigma,Theta,Plane1,plane2,CSL1,CSL2
3,70.53,"-1 1 1","1 -1 2","-1 1 1","1 -1 1"
9,38.94,"-1 1 -4","-2 2 1","-1 -2 1","1 2 1"
11,50.48,"-3 3 2","1 -1 3","-3 1 1","3 -1 1"
17,86.63,"3 -3 -4","-2 2 -3","3 -2 1","-3 2 1"
19,26.53,"-3 3 1","1 -1 6","-3 1 1","3 -1 1"
